id,product_category_name,product_category_name_english
1,beleza_saude,health_beauty
2,informatica_acessorios,computers_accessories
3,automotivo,auto
4,cama_mesa_banho,bed_bath_table
5,moveis_decoracao,furniture_decor
6,esporte_lazer,sports_leisure
7,perfumaria,perfumery
8,utilidades_domesticas,housewares
9,telefonia,telephony
10,relogios_presentes,watches_gifts
11,alimentos_bebidas,food_drink
12,bebes,baby
13,papelaria,stationery
14,tablets_impressao_imagem,tablets_printing_image
15,brinquedos,toys
16,telefonia_fixa,fixed_telephony
17,ferramentas_jardim,garden_tools
18,fashion_bolsas_e_acessorios,fashion_bags_accessories
19,eletroportateis,small_appliances
20,consoles_games,consoles_games
21,audio,audio
22,fashion_calcados,fashion_shoes
23,cool_stuff,cool_stuff
24,malas_acessorios,luggage_accessories
25,climatizacao,air_conditioning
26,construcao_ferramentas_construcao,construction_tools_construction
27,moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture
28,construcao_ferramentas_jardim,costruction_tools_garden
29,fashion_roupa_masculina,fashion_male_clothing
30,pet_shop,pet_shop
31,moveis_escritorio,office_furniture
32,market_place,market_place
33,eletronicos,electronics
34,eletrodomesticos,home_appliances
35,artigos_de_festas,party_supplies
36,casa_conforto,home_confort
37,construcao_ferramentas_ferramentas,costruction_tools_tools
38,agro_industria_e_comercio,agro_industry_and_commerce
39,moveis_colchao_e_estofado,furniture_mattress_and_upholstery
40,livros_tecnicos,books_technical
41,casa_construcao,home_construction
42,instrumentos_musicais,musical_instruments
43,moveis_sala,furniture_living_room
44,construcao_ferramentas_iluminacao,construction_tools_lights
45,industria_comercio_e_negocios,industry_commerce_and_business
46,alimentos,food
47,artes,art
48,moveis_quarto,furniture_bedroom
49,livros_interesse_geral,books_general_interest
50,construcao_ferramentas_seguranca,construction_tools_safety
51,fashion_underwear_e_moda_praia,fashion_underwear_beach
52,fashion_esporte,fashion_sport
53,sinalizacao_e_seguranca,signaling_and_security
54,pcs,computers
55,artigos_de_natal,christmas_supplies
56,fashion_roupa_feminina,fashio_female_clothing
57,eletrodomesticos_2,home_appliances_2
58,livros_importados,books_imported
59,bebidas,drinks
60,cine_foto,cine_photo
61,la_cuisine,la_cuisine
62,musica,music
63,casa_conforto_2,home_comfort_2
64,portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee
65,cds_dvds_musicais,cds_dvds_musicals
66,dvds_blu_ray,dvds_blu_ray
67,flores,flowers
68,artes_e_artesanato,arts_and_craftmanship
69,fraldas_higiene,diapers_and_hygiene
70,fashion_roupa_infanto_juvenil,fashion_childrens_clothes
71,seguros_e_servicos,security_and_services
